ICS209,citation_link,date,time,unique_fact
32,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"He said that at least 21 people have been injured and taken to hospitals and that the images and videos seen by officials are heartbreaking, with many homes and businesses and other buildings completely or partially destroyed."
40,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,Dorian on Monday was called the strongest hurricane in modern records for the northwestern Bahamas
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"More than 70 nursing homes and assisted living facilities have evacuated along Florida's east coast. Many of the state's toll roads are suspended, and several ports have closed. In addition, more than 85 shelters are open statewide."
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"Six counties east of Interstate 95 in Georgia were ordered to evacuate, Gov. Brian Kemp says."
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"Millions of people along the southeastern coast of the United States are bracing for Dorian's effects over the next few days as meteorologists warn the storm, which was stationary late Monday will eventually veer north off the coast of Florida."
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"President Donald Trump has approved emergency declarations for Florida, South Carolina and Georgia. "
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,Virginia Gov. The governors of North Carolina and Virginia have also declared states of emergency.
34,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"Information began emerging from the affected islands, with Bahamas Power and Light saying there is a total blackout in New Providence, the archipelago's most populous island, according to the AP."
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,"On Sunday, the governors of South Carolina and Georgia ordered at least 1 million people to evacuate their coasts beginning Monday"
28,https://www.nbcnews.com/news/world/catastrophic-hurricane-dorian-pounds-north-bahamas-n1048786,9/2/2019,5:27:00 PM,Authorities in Florida ordered mandatory evacuations in some vulnerable coastal areas. 
40,https://twitter.com/GuRuth/status/1168669567398404096,9/2/2019,7:38:00 PM,"Chella Philips of Nassau, Bahamas brought 97 stray dogs to her home to protect them during Hurricane Dorian. She manages The Voiceless Dogs of Nassau, a group that works to pair local dogs with rescue and adoption organizations in the US #womenswork"
33,https://twitter.com/CNN/status/1168670463742140419,9/2/2019,7:42:00 PM,"Legoland Florida will be closed on Tuesday due to Dorian. ""Our thoughts and prayers are with those impacted by Hurricane Dorian. The safety of our employees and guests is our number one priority,"" the company said. https://cnn.it/2zL5ZkC"
36,https://twitter.com/KevzPolitics/status/1168673163020029953,9/2/2019,7:52:00 PM,#UPDATE: 8PM ADVISORY: DORIAN NOT MOVING: Hurricane Dorian still remains stationary over Grand Bahama - remains 25 miles NE of Freeport; Dorian's winds weakened to 140 MPH but remains a very dangerous CAT 4 system; NHC's next advisory is slated to be released for 11PM EST
36,https://twitter.com/BMacTV/status/1168673002076065792,9/2/2019,7:52:00 PM,"Hurricane Dorian has stalled over the Bahamas. Current track still brings dangerous rain, storm surges, and wind to the Florida, Georgia, and Carolina coastlines as the storm hugs the coast. Most models have the eye of the storm staying over water the next few days. Stay tuned!"
